title;text;tags;date
Все силы отданы борьбе;А у меня задолбашка примерно такая же, как у недавней мотоциклистки. Только я — пешеход. Но тоже задолбали любители обогнать и потом уныло плестись. Кстати, не только автомобилисты. Но начнём все же с автомобилистов. Классическая ситуация: нерегулируемый ПП, я собираюсь переходить дорогу, не бегу, не выпрыгиваю из кустов, спокойно стою и жду. Вот авто, казалось бы, может затормозить и пропустить меня — но нет, он лучше газанет со всей дури, чтобы… проехать 100−200м и встать в пробке. Ну и что ты выиграл, дядя? Да ничего. А вот уже не автомобилисты. Тоже классика — стою в вагоне в метро, готовлюсь выходить. Двери ещё не начали открываться, но сзади меня уже пихают и толкают так, что я чуть было не падаю. После выхода из вагона те, кто только что меня толкал, неспешным лёгким шагом медленно фланируют по перрону в направлении выхода. Чудаки, вы зачем толкались-то? Что вы хотели этим выиграть? Тут вообще ни секунды выигрыша Или вот сегодня. На выходе из метро женщина идёт, расталкивая всех локтями, в том числе и меня. Довольно быстро мы с ней поравнялись и я вежливо спросила её, сильно ли она в итоге обогнала кого-то. В ответ — поток нецензурной брани. Тётя, ты зачем ругаешься? Лучше подумай, стоило ли это все лишних глупых телодвижений. Да, задолбали, и да, бесите. Думайте иногда головой, а не спинным мозгом.;транспорт, быт;2021-09-28
Икра престолов;Да потому, любезный автор истории «А раньше „династия“ звучало гордо», что раньше было раньше, а теперь мы видим то, что видим. Раньше представитель династии знал, что его задача — не посрамить память предков, не опозорить великий род. Стать если не лучше дедов и прадедов, то хотя бы таким же, как они. И спрашивали с него строже, чем с других, оценивая его поступки и достижения в сравнении со славными представителями династии, будь то дворянской, творческой, научной или рабочей. Встречались и среди них «паршивые овцы», но именно так их всегда и воспринимали, и семья стыдилась такого отпрыска. А теперь представитель династии знает, что ему можно всё, ведь папа-мама в случае чего и отмажут, и прикроют, и взятку где надо дадут, и на тёплое место пристроят, и жирный оклад ему будет обеспечен независимо от его навыков и квалификации, по крайней мере, до тех пор, пока папа в начальниках. И сын директора театра поступает на работу в театр не гардеробщиком — для начала, чтобы пройти всю административную цепочку и узнать дело изнутри «от и до», — а сразу заместителем папы, ибо он, видите ли, уже всю театральную кухню изучил, тесно общаясь с отцом. Да полно, ой ли? Много вы знаете об устройстве и функционировании предприятий, где трудятся ваши родители, пусть даже на руководящих должностях, пусть даже если они каждый день рассказывают о том, что было на работе? Наберите ради любопытства в строке поиска «сын генерала», «сын бизнесмена», «сын депутата», посмотрите на результаты. Подсказка — нет, не подвиги они там совершают, не новые предприятия открывают, не в благотворительности участвуют. И нисколько не стыдятся, что запятнали своим поведением честь рода, а лишь надеются, что высокопоставленные предки не дадут чадо в обиду, поправ закон и наплевав на совесть. Так вот, до тех пор, пока династия остается синонимом непотизма и безнаказанности, мы будем относиться к таким наследникам как минимум с подозрением.;родственники;2021-09-28
Аналогии такие аналогии!;Истории с наехавшей на ногу машинкой и упавшим под ноги самолетиком действительно похожи. Только вот вы со своей дочкой куда ближе к тому юному водителю, от которого пострадала ваша подруга, и его бабушке, чем к пострадавшей. Ну посудите сами: самолетик неожиданно спланировал под ноги мирно идущему человеку, так, что на него по инерции даже наступили, видимо, не имея возможности ни затормозить, ни обойти, ни перешагнуть. То есть напугал и попал под ногу, заставив оступиться. К счастью, женщина не упала, потеряв равновесие — а могла (!), и даже нога, если подвернулась, то незначительно — а тоже могла… И кто тут перед кем должен извиняться? По меньшей мере, неочевидно. Но вам это, как и той бабушке, и в голову не пришло. Действительно, чего это они ходят там, где моя деточка играет. Да ещё и игрушку повредили! Что там у нас с двойными стандартами, а?;развлечения, дети, быт;2021-09-28
Тех, кто лезет без очереди, без очереди пускают в Ад;Задолбало меня некоторое явление. А именно — покупатели с одним соком, одним батоном и ещё чем-нибудь одним, которые пытаются проскочить мимо очереди. Бывало, я и сама пропускала. Но сейчас — фиг вам. Да, девушка с одной бутылочкой воды, ты будешь стоять за мной, у которой полная тележка с горкой. И не надо на меня сердито сопеть — я тебе ничего не должна. Зачем ты попёрлась в сине-жёлтый гипермаркет за бутылкой воды? И тебя, дядя «мне только сигареты!» я не пропущу, потому что иначе останусь без шампанского этим вечером. Да, мне моя вредная привычка важнее твоей. Мамаша с целым выводком детей, не надо на меня орать и требовать, чтобы я пропустила тебя с баночкой пюре. Я спешу на работу, а ты, судя по всему, в перманентном декрете. Да, повторюсь — я когда-то была милой и вежливой и думала: «Ну ладно, пусть пройдёт». Но вместо того, чтобы говорить «спасибо», вы, граждане хорошие, просто нагло прёте вперед. Одна такая фифа и вовсе заявила недовольным людям, что по новому закону люди с одним товаром обслуживаются вне очереди. Задолбали хамы.;супермаркет;2021-09-28
Детали не играют решающей роли. Они решают всё;Не одну меня, в том числе на этом сайте, задолбали пролайферы. Сейчас, в свете озвученных политиками мечтаний о «полумиллиардной России» поднялся новый виток хайпа. И задолбало до зубовного скрежета повторяющееся: «Да вот где наши Моцарты и Кулибины, не дают им родиться». Ту небольшую деталь, что у нежеланного ребёнка в неблагополучной или просто бедной семье шанс вырасти здоровым, развить свои таланты и получить образование стремится к нулю, я упомяну вскользь. Как и то, что только один из выпускников детдома, по статистике, доживает до 40 лет. Остальные — спиваются, гибнут в драках, садятся на наркотики… Простые факты, вызывающие либо агрессию, либо дружный игнор пролайферов. И ещё один простой факт. Почему-то по их мнению, только эмбрионы потенциально обладают талантами, и вообще все поголовно гении. Женщины не в счёт. По мнению борцов с абортами, женщинам не бывает больно — больно только эмбрионам, женщины ничего не хотят. И уж тем более, женщины не бывают одарёнными. Задолбало, как с упорством, достойным лучшего применения, целая толпа людей тянет вниз, к деградации, половину человечества. Девочкам и так внушают в десять лет, что главная цель в жизни — борщ для мужа. А потом в 16 этих девочек выбрасывают на помойку только потому, что в матке оплодотворилась яйцеклетка. «Может быть, этот ребёнок будет гением и откроет лекарство от рака». А может быть, лекарство от рака откроет вот эта школьница, которую вы тащите на социальное дно. Прервёт беременность, закончит школу и ВУЗ. И вместо памперсов, детсадов и пособий у неё будут проекты, идеи и разработки. Задолбали уже прикрываться прогрессом, когда на самом деле всеми способами его тормозят. Идите обратно в джунгли, дикари!;прекрасный пол, дети, быт;2021-09-28
Обман там правит бал;Таки да, в интернете один обман. Ну почти. Вот такси в приложении — деньги спишут, а приедет оно или нет, зависит от веления левой пятки таксиста. Бывали случаи мошенничества, да. А потому дулю им, а не деньги, пока не отвезут. Пользуюсь строго заказом по телефону — не приедет вовремя, так хоть могу плюнуть и уехать другим транспортом. Заказ продуктов. Привезли не по тому адресу, деньги вернули только за саму продукцию, за неправильную доставку уворовали. Косяк приложения свалили на меня. Больше не пользуюсь доставками, где нужно заранее платить. Заказ продуктов из магазина. Привезли филеху меньшего веса, сказали, что деньги вернут «потом». Это «потом» уже много месяцев длится, никаких возвратов не поступало. Оно мне надо? Билет на самолёт. Заказ принят, оплачен и тишина. Никаких оповещений, билетов и подобного. Только к утру вышиб из поддержки информацию, оказалось, что всё в порядке, но до самого полёта напрягало, мало ли? Вот только РЖД не косячит — всё чётко, прозрачно, нареканий ноль. Ну, кроме рандома вагонов, когда в фирменном поезде можно попасть в бомж-вагон лохматых годов, но то не приложение виновато и не интернет. Но ваша подруга может не знать об этом, что данное приложение не мошенничает, и показать ей вы не удосужитесь. А просто выкидывать деньги не каждый готов.;сервис, транспорт, интернет-клубы, еда, доставка, интернет;2021-09-28
Дороги не ищут, а спрашивают;Задолбали интернет-магазины одежды, услугами которых, тем не менее, пользуюсь чаще, чем обычными. Обычно в интернет-магазинах одежды товары разбиты на группы. Сначала идёт разделение Мужская/Женская/Детская одежда, а потом разделы: Брюки, Юбки, Платья, и т. д. Так вот. Тому человеку, который придумал сделать отдельную группу «Размеры ХХХL» хочется оторвать какую-то важную часть тела. Потому что в этот раздел пихают всё, что подходит под те самые размеры: куртки вперемешку с трусами, купальники с офисными костюмами. То есть человек с условно обычными параметрами может воспользоваться стандартным методом поиска — выбрать женскую одежду, потом раздел юбки — и дальше только среди юбок искать то, что нужно. А пышке для того, чтобы найти подходящую юбку, надо «перелопатить» кучу лишнего ненужного хлама. Почему, ну почему, нельзя использовать такой стандартный инструмент как фильтр, чтобы находясь в общем разделе «Юбки» каждый мог отобрать модели согласно своим параметрам? Согласна, не все магазины такие, но среди тех, где в принципе можно найти одежду plus-size — таких большинство. Бесит неимоверно.;сервис, интернет-клубы, одежда, интернет;2021-09-28
Кукусик и мамка;Женщина из истории «Что для одного — сумасшествие, для другого — реальность», а до какого возраста ваш 13-летний кукусик будет требовать неотлучного присмотра? И с какого возраста ему будет дозволено одному оставаться в квартире? Умеет ли он сам пожарить себе яичницу, закинуть свои трусы в машинку, насыпать стиральный порошок и нажать кнопочку, знает ли телефон скорой, пожарной и полиции? Ведь ещё лет пять и кукусику придётся выбирать ВУЗ, и о ужас, самому туда ездить, самому учиться, работать, строить отношения с людьми. И в этих областях мамочке-хлопотунье уже за кукусиком не присмотреть. Вам самой то не страшно от инфантильности и беспомощности собственного чадушки? Или вы намерено ро́стите бытового инвалида, который без мамкиного пригляда умрет рядом с холодильником, не найдя в нём кастрюлю борща?;прекрасный пол, транспорт, образование, одежда, дети, полиция, еда, родственники;2021-09-28
А здоровье? Оно не вечно. А удачи? Они попозже!;"Что нам надо, говорите? Рассказываю: — купить квартиру по нормальной ставке за нормальную цену, чтобы не отдавать всю зарплату на ипотеку и на остаток питаться Дошираком; — развитый общественный транспорт, который довезёт до точки Б быстрее и комфортнее личного автомобиля, а не так, что из ипотечной квартиры до остановки идти 20 минут, а потом полчаса ждать автобус; — системы безопасности, чтобы мы могли спокойно идти в новую ипотечную квартиру, не ожидая постоянного нападения сзади; — чтобы не мужчины, которые нам не нравятся, добивались нас грубой силой, а чтобы мы оказывали знаки внимания мужчинам которые нас достойны; — чтобы с наркомафией реально боролись, а не на каждом углу появлялись рекламы очередных миксов и солей, в то время как мы платим ипотеку; — чтобы мигранты не сбивали зарплаты работающих местных людей, заставляя их жить в нищете, и даже не было возможности взять ипотеку; — чтобы люди с высшим образованием зарабатывали достаточно, чтобы прокормить детей и помогать родителям, а не так что на зарплату самой не прожить с учётом опять-таки ипотеки… Дайте возможность людям своим трудом получить жильё, не влезая в ипотеки, и будет нам счастье.";прекрасный пол, транспорт, образование, иностранцы, недвижимость, сильный пол;2021-09-28
I’ll be back;На этом сайте часто жалуются женщины на мужей и отцов. Мол, бросил с ребёнком, десять лет не появлялся или раз в месяц брал в парк на полчаса, а потом явился и требует общения с ребёнком. Доставайте тапки — я как раз такой отец и есть. Когда я развёлся с женой, нашему сыну было два года. Сейчас ему 14, и я в полной мере реализую своё право с ним видеться. И нет, мне не стыдно. Позвольте, милые барышни, объяснить вам одну простейшую вещь — у мужчин нет материнского инстинкта. Представляете? Само его название исключает мужчину из этого процесса. Мужчины не любят все эти сюси-пуси, агуканья, смену памперсов, сопли и прочие радости материнства. Это нужно исключительно вам, и мы это с радостью вам делегируем, благо у нас есть такая возможность. Мужчины же хотят общаться с детьми как с равными на темы, которые им интересны, и чему-то учить. В младенческом и даже младшем школьном возрасте это невозможно, а вот лет с 12−13 — вполне. Так что давайте уж по-честному делить вершки и корешки. Вы получили свою порцию общения с ребёнком, вы о нём заботитесь и реализуете свои природные инстинкты? Прекрасно. А мы делаем то, что интересно и нужно нам. Да, несправедливо. Да, сексизм. Но такова жизнь, и глупо с этим спорить. Так что да, мы будем пропадать на десять и более лет, а потом приходить. Это наше право, а ваша задача — не препятствовать этому, потому что закон на стороне мужчин. Примите это как данность и не задалбывайтесь. А то мы задолбаем вас. Поверьте, все ресурсы для этого у нас имеются.;дети, родственники, сильный пол;2021-09-28
